Sheet,Cell Line Name,Cell Line #,Min,Max,Amplitude,Beat Rate,Beat Variation,Rise Time,Rise Velocity,Y0,A,RC,Tau,RC1d,RC2d,Goodness of Fit,Decay Time,Curve Fit Decay Time 36%,Curve Fit Decay Value 36%,
Sheet 1, #1 (Mono), 1, 0.8084396225528583, 1.5172708332005467, 0.7088312106476884, 29.677259799678495, 0.026697822101995495, 0.43562500000000043, 1.627159163610187, 0.38660421820725516, 1.0136623825665236, 0.8173902493591049, 1.2234058343417662, 2.4521707480773145, 0.40869512467955244, 0.9367543259601742, 1.5629999999999997, 0.540555555555555, 0.18387772028069377, 
Sheet 1, #2 (Mono), 2, 0.7225968138865322, 1.9305385755136095, 1.2079417616270773, 30.05447373364223, 0.027024876290419688, 0.5571249999999999, 2.168170090423294, 0.2886431954690296, 1.4415012083572967, 0.9784365487831147, 1.022038681244792, 2.935309646349344, 0.48921827439155735, 0.9691378022946355, 1.4505555555555558, 0.5222222222222224, 0.31526903587151345, 
Sheet 1, #3 (Mono), 3, 0.6470530795628096, 1.274864156478679, 0.6278110769158693, 29.52937557674562, 0.030807984861283957, 0.602875, 1.0413619355851036, 0.08862989699409901, 1.092509360470891, 0.5526581227460095, 1.8094368993099552, 1.6579743682380284, 0.2763290613730047, 0.935529905661957, 1.4008888888888889, 0.5811111111111112, 0.16033641119583358, 
Sheet 1, #4 (Mono), 4, 0.7620847466563112, 2.2144507892789074, 1.4523660426225962, 29.826632697446094, 0.025806687266523996, 0.4964999999999999, 2.925208545060617, 0.25521415370393186, 1.7233378640629078, 0.9385374095283869, 1.065487629845781, 2.815612228585161, 0.46926870476419347, 0.9518224363328, 1.5180000000000002, 0.5358888888888891, 0.38228552169376434, 
Sheet 1, #5 (Mono), 5, 0.7651638590881031, 2.0542993082252883, 1.2891354491371851, 30.439469845900177, 0.02522116913443339, 0.5014999999999998, 2.5705592206125334, 0.43055319335696823, 1.380226932670235, 1.0045497383073378, 0.9954708680577588, 3.0136492149220135, 0.5022748691536689, 0.9481074620461833, 1.4865555555555559, 0.5315555555555553, 0.32666552930572323, 
Sheet 1, #6 (Mono), 6, 0.8227596640637389, 1.643255100949121, 0.8204954368853821, 29.677259799678495, 0.021468611791158537, 0.532, 1.5422846557995902, 0.16634847647203227, 1.3552602958785247, 0.5802179080318955, 1.7234904096497283, 1.7406537240956865, 0.2901089540159478, 0.9190387936586636, 1.481888888888889, 0.6034444444444448, 0.20975208563404812, 
Sheet 1, #7 (Mono), 7, 0.6111010781029689, 1.465607365759236, 0.854506287656267, 29.977516862353234, 0.04194846174644709, 0.5268749999999996, 1.6218387428825956, 0.18116448670231805, 1.1369675577786138, 0.7909697617146948, 1.264270833605777, 2.3729092851440843, 0.3954848808573474, 0.9564367781785449, 1.4954444444444448, 0.5358888888888889, 0.22080117018148504, 
Sheet 1, #8 (Mono), 8, 0.7340216175173635, 1.6691668433059235, 0.93514522578856, 30.05447373364223, 0.03569731549898685, 0.47125000000000034, 1.9843930520712134, 0.2575057009429664, 1.2694770658309347, 0.7719733786107211, 1.29538145706481, 2.3159201358321635, 0.38598668930536056, 0.9536592636632114, 1.5268888888888887, 0.5674444444444444, 0.2509865010900689, 
Sheet 1, #9 (Mono), 9, 1.018547681440224, 1.4404480841078742, 0.4219004026676503, 30.05447373364223, 0.022359612681253225, 0.5318750000000002, 0.7932322494338897, 0.24336511816957382, 1.1322455379783267, 0.3812387813309001, 2.6230280049396124, 1.1437163439927003, 0.19061939066545006, 0.9063627941332683, 1.464, 0.616888888888889, 0.10576532286814394, 
Sheet 1, #10 (Mono), 10, 0.7034602553529412, 1.503922460909599, 0.8004622055566577, 30.207677784770294, 0.02147088425406596, 0.5623750000000004, 1.4233602232614486, 0.14085033637263045, 1.2441380570690819, 0.7140369735021742, 1.4004877017715878, 2.1421109205065227, 0.3570184867510871, 0.9457033439602801, 1.4458888888888888, 0.5451111111111115, 0.20983978842358858, 
